spatial_cluster,raw_risk,risk_score,peak_hour
56,9.876212544742817,0.025485174063857897,9
57,81.4871450270388,0.7815283808883883,19
58,61.31802381419207,0.5685898454997704,18
59,49.85441473553099,0.44756106582626987,16
60,16.488822809970884,0.0952988030323093,9
61,48.85099326330143,0.43696729248239424,11
62,12.43091431881361,0.05245682287217785,11
63,16.273686367766828,0.09302746763657226,19
64,16.200165944027315,0.09225126468816264,10
65,30.54662524922792,0.2437161698877008,22
66,15.40236096201396,0.08382831841287033,19
67,25.95279675320666,0.1952161335476843,17
68,18.86290018308273,0.12036348251907317,20
69,19.12559809288803,0.12313695527345186,11
70,27.383262733359647,0.21031849361198918,9
71,25.744513401241015,0.19301715068445738,21
72,21.90670482644245,0.15249890854612574,17
73,26.144892708702596,0.19724421553428706,11
74,44.314164557386476,0.3890690400126122,18
75,23.30505708802226,0.1672622231891309,11
76,25.328519021939286,0.18862522736149248,11
77,52.4451225524867,0.4749128538561327,22
78,80.23401365472195,0.768298257659186,10
79,19.58564896480704,0.1279940116536918,21
80,37.5449861620256,0.3176024194255781,20
81,17.297238239953252,0.1038337707103437,18
82,31.366718970245174,0.2523744328825002,11
83,23.691433162115448,0.17134144679329086,11
84,50.07736916720775,0.4499149408235311,20
85,23.055162188621928,0.16462392014568947,10
86,11.624439260001395,0.04394234095506095,9
87,43.10356499230192,0.37628795274506144,19
88,28.97642777210401,0.22713857349561303,22
89,40.03361455896379,0.34387648860182984,22
90,20.69225173170023,0.13967713705873616,17
91,39.42026392710337,0.33740094691363515,19
92,27.004917339258622,0.20632405512155133,22
93,33.88382038076069,0.2789491101886389,15
94,15.41502894326006,0.08396206253312267,22
95,46.36905993969648,0.41076390755137326,17
96,16.75532422441755,0.09811243185988171,20
97,20.467065288335736,0.13729969726186167,11
98,16.936808496410034,0.10002847939940139,10
99,23.74797356569062,0.171938380621023,15
100,22.036909278864446,0.15387356166597296,11
101,42.558742983840624,0.3705359123212408,11
102,31.849563497413822,0.2574721367115701,21
103,34.93344033908782,0.29003063100861787,11
104,28.47243403932163,0.22181758374245691,22
105,32.164303306515336,0.26079504965712175,20
106,18.81820456792166,0.11989160182926756,9
107,17.698281346128887,0.1080678437150886,17
108,30.573084633328307,0.24399551882106096,17
109,15.341690427640986,0.08318778010709639,19
110,40.20359927728154,0.3456711278711885,11
111,48.61291985230367,0.43445379658349775,16
112,28.702875665938777,0.22425050592813794,20
113,36.105217234376994,0.3024018420917348,22
114,62.82727293669741,0.5845239704569918,10
115,13.121337951709124,0.05974607437872423,11
116,18.00903926839946,0.11134871729060943,11
117,32.477000924975385,0.2640964018673499,17
118,13.065071749829388,0.05915203547669611,17
119,13.85830442553214,0.06752670893936297,22
120,9.770658314802407,0.02437076938105656,11
121,34.10107393552341,0.28124279731912616,22
122,28.53348687934774,0.22246215829775257,15
123,9.990021763278301,0.02668673203224539,20
124,26.449078282608937,0.20045570055192405,17
125,27.088635572265215,0.2072079229774494,11
126,40.16063670911214,0.34521754408605565,17
127,17.66655137199718,0.1077328497335352,21
128,16.213218635998437,0.09238907044984546,11
129,23.24031546421033,0.16657870374335493,20
130,66.60538111741289,0.6244119166917975,11
131,26.307949477559127,0.19896571193361426,16
132,33.00163361089601,0.2696352904772204,18
133,8.68397557734683,0.012897952687461783,11
134,12.88930991669534,0.057296403447426356,17
135,52.55442044494207,0.4760667828198638,10
136,24.10428133847423,0.17570015360475597,11
137,15.638582396788149,0.08632226179381321,10
138,16.459727289545757,0.09499162269260517,11
139,16.66220066096236,0.0971292658109967,10
140,16.06506709989787,0.09082493829059528,21
141,33.43257877584189,0.2741850589717413,16
142,16.226798227079374,0.09253243902824983,19
143,47.69722450670915,0.4247862050362332,16
144,7.462306748469912,0.0,21
145,18.684968749948126,0.11848494461097893,10
146,17.896347713074803,0.11015895921992992,15
147,36.447183474028186,0.3060122021790795,11
148,30.186791223134883,0.2399171679534749,11
149,43.17702473905056,0.3770635150869998,17
150,24.58804870354293,0.18080760043396762,11
151,30.82623174742349,0.24666815761104202,20
152,29.858473572743918,0.23645090490320606,11
153,22.995267447838344,0.1639915723975975,9
154,10.20662841412021,0.02897358937714206,16
155,18.33634571729371,0.11480430442875396,17
156,22.006161292892923,0.15354893517234292,9
157,20.13126801671909,0.13375446698380683,20
158,21.714449975247184,0.15046914899424202,11
159,27.42927210938862,0.21080424453005658,17
160,40.52408017826014,0.3490546532590443,16
161,27.379857994131914,0.2102825475647181,17
162,23.371522062176577,0.1679639371657442,11
163,20.565850611785418,0.1383426381947501,22
164,23.03137002425145,0.16437273078640555,11
165,18.432400686339648,0.11581841923373679,19
166,11.048879415756758,0.03786578119975093,9
167,24.597873036215205,0.18091132230604762,19
168,23.662392591564238,0.171034846595158,20
169,27.080049058249628,0.20711726956229667,18
170,18.71818244680471,0.1188356032187014,16
171,17.50075458464003,0.10598242517614387,19
172,19.17371192965134,0.12364492435272838,20
173,29.119598765315807,0.22865012282306887,21
174,16.657120119502284,0.09707562722922249,16
175,27.691480898102398,0.21357255331483257,22
176,21.949235979522722,0.15294793760146871,16
177,9.816413403732204,0.024853835624769796,17
178,28.62980129689871,0.22347901226940942,11
179,29.966611602717926,0.23759258844407388,15
180,16.625972420482444,0.09674678070487389,16
181,10.256066320204742,0.02949553751772911,16
182,12.938992895472783,0.05782093897988543,18
183,10.808662840404885,0.035329658520349486,17
184,10.134814606389048,0.028215404284317427,19
185,12.39714723221039,0.05210032176884518,17
186,16.584375079534773,0.09630761051178605,17
187,21.029772827367466,0.14324056686887407,10
